project,symbol,chain,apy,tvlUsd
morpho-blue,STEAKUSDTBETHENA,Ethereum,4.96404,105220827
fluid-lending,USDC,Ethereum,4.96,201342262
pendle,SUSDE,Ethereum,4.95575,12198578
morpho-blue,REECOUSDC,Ethereum,4.94951,2458695
aave-v3,USDE,Plasma,4.93151,143759818
convex-finance,FRXUSD-CRVUSD,Ethereum,4.92837,11752148
yearn-finance,USDC,Ethereum,4.90549,3708802
pendle,USDG,Ethereum,4.90264,54787779
pendle,USDAT,Ethereum,4.9003,17984650
morpho-blue,GTUSDT,Ethereum,4.89333,6550126
navi-lending,USDC,Sui,4.89292,5983590
yearn-finance,VBUSDT,Katana,4.89276,4195101
pendle,SUSDF,Ethereum,4.89144,1818167
yearn-finance,USDC,Ethereum,4.88507,10683455
kai-finance,USDC,Sui,4.846,2481363
maple,USDC,Ethereum,4.79941,3275612119
beefy,USDC,Ethereum,4.78558,2526107
morpho-blue,GTUSDCP,Base,4.76703,81745135
morpho-blue,STEAKUSDC,Base,4.76673,129579991
lagoon,AGUSDC,Avalanche,4.76428,1017240
morpho-blue,SKYMONEYUSDCRISKCAPITAL,Ethereum,4.74364,12371228
falcon-finance,SUSDF,Ethereum,4.71004,79686228
fx-protocol,USDC+fxUSD,Ethereum,4.68,8063779
aave-v3,USDC,Ethereum,4.67117,1420196
fluid-lending,GHO,Ethereum,4.67,14055340
bifi,BTCUSD,Bifrost Network,4.66511,1337902
compound-v3,USDC,Ethereum,4.65917,31784825
reservoir-protocol,WSRUSD,Ethereum,4.65326,92390344
curve-dex,SCRVUSD-SUSDE,Ethereum,4.64859,2825776
morpho-blue,BBQUSDT,Ethereum,4.62841,26366386
convex-finance,USDC-CRVUSD,Ethereum,4.61156,15651875
uniswap-v4,BOLD-USDC,Ethereum,4.59802,3668271
fluid-lending,USDTB,Ethereum,4.59,2100580
jupiter-lend,USDC,Solana,4.58528,445067919
flux-finance,USDT,Ethereum,4.58339,1695721
jupiter-lend,USDS,Solana,4.56166,12602887
reserve-protocol,USD3,Ethereum,4.55419,4923681
yearn-finance,VBUSDC,Katana,4.55328,5221251
aave-v3,USDE,Ethereum,4.54721,86376475
euler-v2,PYUSD,Ethereum,4.52004,7260099
aave-v3,USDT,Avalanche,4.51404,2659389
morpho-blue,PUSDC,Base,4.50377,38327798
morpho-blue,FRUSDC,Base,4.50375,23811204
aave-v3,RLUSD,Ethereum,4.49765,131185639
curve-dex,FRXUSD-AVUSD,Ethereum,4.49562,1001159
morpho-blue,GTUSDCP,Base,4.49553,372580654
morpho-blue,STEAKUSDC,Base,4.49494,465843932
uniswap-v4,APXUSD-USDC,Ethereum,4.47944,17804980
morpho-blue,SKYMONEYUSDSFLAGSHIP,Ethereum,4.46832,49877566
morpho-blue,SKYMONEYUSDSRISKCAPITAL,Ethereum,4.46546,1636108
aave-v3,USDC,Ethereum,4.46377,141235289
beefy,USDC,Base,4.44408,1875281
curve-dex,PYUSD-USDC,Ethereum,4.4215,51412863
morpho-blue,GTUSDCRWA,Ethereum,4.38456,11395801
curve-dex,SCRVUSD-SUSDS,Ethereum,4.36809,1236858
gauntlet,GTUSDA,Base,4.36174,66789270
morpho-blue,GTUSDCF,Ethereum,4.35474,17511466
gains-network,USDC,Base,4.35381,2189961
pendle,SUSDE,Plasma,4.34631,7987646
aave-v3,USDT0,Plasma,4.34074,63054226
pendle,SUSDE,Ethereum,4.3312,12198578
